"","T01","T02","T03","T31","T32","T33","T34","T5A5","T5A6","KMR19","KMR46"
"ENSMUSG00000083677.1",0,0,0,0,0,3,0,0,2,0,0
"ENSMUSG00000081450.1",3,1,5,5,3,4,1,7,8,0,0
"ENSMUSG00000082313.1",6,3,9,7,4,4,4,9,10,1,2
"ENSMUSG00000084277.1",2,2,1,1,2,4,11,10,2,0,0
"ENSMUSG00000083394.2",2,4,1,3,3,2,6,3,4,2,2
"ENSMUSG00000084130.1",0,0,0,0,2,1,0,7,7,0,0
"ENSMUSG00000084930.1",123,157,158,21,68,52,69,114,85,0,0
"ENSMUSG00000086481.1",4,1,10,1,3,15,1,3,18,0,0
"ENSMUSG00000083356.1",2,1,3,2,1,4,4,10,10,1,0
"ENSMUSG00000087683.1",145,227,106,124,153,122,126,235,130,0,0
"ENSMUSG00000085245.1",275,349,150,209,252,256,247,354,219,0,0
"ENSMUSG00000087113.1",828,941,446,558,730,639,663,1062,621,2,1
"ENSMUSG00000087596.1",146,116,121,199,235,227,229,277,230,0,2
"ENSMUSG00000086298.1",123,257,138,200,151,240,200,336,221,1,0
"ENSMUSG00000081360.1",0,2,6,6,5,9,2,1,1,0,0
"ENSMUSG00000081995.1",29,42,10,19,22,18,17,29,16,0,0
"ENSMUSG00000086442.1",55,64,65,79,118,80,90,145,110,0,0
"ENSMUSG00000087486.1",4,5,15,14,3,9,6,14,15,0,0
"ENSMUSG00000087669.1",1,7,7,10,10,7,7,12,12,0,0
"ENSMUSG00000085434.1",113,143,165,72,89,144,68,173,180,0,0
"ENSMUSG00000082562.1",0,4,2,1,2,3,0,2,5,0,0
"ENSMUSG00000086902.7",14,5,22,13,18,19,13,30,34,0,0
"ENSMUSG00000086588.1",2,3,7,4,8,3,4,9,11,0,0
"ENSMUSG00000087057.7",13,7,11,12,19,10,16,24,26,0,0
"ENSMUSG00000085104.1",16,11,15,12,7,17,11,22,44,0,0
"ENSMUSG00000085336.1",14,43,86,44,67,57,46,79,157,0,0
"ENSMUSG00000069588.3",10,10,19,10,13,25,5,18,37,1,2
"ENSMUSG00000085419.1",473,533,778,73,111,162,68,181,176,0,0
"ENSMUSG00000078586.3",17,42,43,19,76,30,26,58,77,0,0
"ENSMUSG00000083090.1",3,4,3,2,3,11,0,7,11,0,0
"ENSMUSG00000080810.1",64,86,67,62,74,110,81,161,103,0,0
"ENSMUSG00000085511.1",5,8,18,37,33,22,29,32,57,0,0
"ENSMUSG00000086826.1",746,839,632,410,650,591,445,737,631,0,0
"ENSMUSG00000083314.1",6,1,0,4,14,2,7,7,6,0,0
"ENSMUSG00000084306.1",43,57,43,5,5,10,1,18,18,1,0
"ENSMUSG00000075410.12",67,112,173,74,135,108,63,201,223,1,5
"ENSMUSG00000084052.1",36,51,50,14,30,13,10,17,15,0,0
"ENSMUSG00000082858.1",0,3,2,0,4,4,0,5,8,0,0
"ENSMUSG00000086514.1",288,143,266,105,94,195,109,274,240,0,0
"ENSMUSG00000087036.1",79,64,84,20,37,38,37,86,47,0,0
"ENSMUSG00000084887.1",2,1,2,3,3,1,0,5,3,0,0
"ENSMUSG00000085059.1",3,7,9,4,10,4,2,9,27,0,0
"ENSMUSG00000086364.1",139,219,411,320,259,300,206,415,531,0,0
"ENSMUSG00000087404.1",107,84,112,26,67,37,38,61,72,0,0
"ENSMUSG00000085548.1",13,16,17,8,10,6,8,14,9,0,0
"ENSMUSG00000086306.1",21,38,50,31,37,32,39,61,61,0,0
"ENSMUSG00000086547.1",107,129,111,114,172,123,95,243,232,0,0
"ENSMUSG00000093962.7",0,4,2,3,4,1,4,2,9,0,0
"ENSMUSG00000096750.7",0,0,2,0,0,0,0,2,0,0,0
"ENSMUSG00000096530.7",0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000084178.1",0,2,1,0,4,3,0,2,1,2,2
"ENSMUSG00000081048.1",0,5,2,1,1,9,1,12,5,9,12
"ENSMUSG00000083870.1",21,30,23,35,48,47,39,62,46,0,0
"ENSMUSG00000087675.1",31,63,112,74,109,80,56,142,164,0,0
"ENSMUSG00000081722.1",0,0,3,0,1,0,2,1,0,0,0
"ENSMUSG00000083014.1",6,10,13,8,9,2,10,21,14,0,1
"ENSMUSG00000081391.1",4,11,29,11,24,30,12,36,58,0,0
"ENSMUSG00000086924.1",55,53,96,40,63,64,41,55,80,0,0
"ENSMUSG00000085207.1",133,128,192,97,133,134,70,118,150,3,8
"ENSMUSG00000085636.1",103,51,117,74,107,85,54,148,124,1,2
"ENSMUSG00000086750.1",6,21,22,18,7,22,9,24,31,0,0
"ENSMUSG00000083618.1",0,7,8,3,9,7,3,17,29,7,0
"ENSMUSG00000085501.1",1,4,13,0,6,2,4,13,11,6,2
"ENSMUSG00000087638.1",33,48,56,34,44,32,32,37,28,0,0
"ENSMUSG00000081686.1",27,33,4,0,4,2,4,10,3,0,0
"ENSMUSG00000086835.2",16,82,128,71,96,97,86,184,235,0,0
"ENSMUSG00000083228.1",1,0,0,2,0,1,0,1,1,0,0
"ENSMUSG00000085155.3",0,1,4,2,0,0,0,1,2,1,0
"ENSMUSG00000084237.1",0,2,4,3,2,0,1,0,6,0,0
"ENSMUSG00000087099.1",4,9,22,20,19,13,10,38,28,0,0
"ENSMUSG00000081165.1",0,1,5,0,1,0,0,3,3,0,0
"ENSMUSG00000083489.1",4,0,5,3,1,6,0,7,12,0,0
"ENSMUSG00000081711.1",0,1,2,1,0,1,1,5,2,0,0
"ENSMUSG00000083632.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081660.1",22,29,59,36,37,41,25,64,82,0,0
"ENSMUSG00000086929.1",49,49,52,86,100,85,66,117,104,0,1
"ENSMUSG00000084983.7",7,14,35,16,29,45,10,52,46,0,0
"ENSMUSG00000081835.1",0,2,2,5,0,0,3,1,1,0,0
"ENSMUSG00000084853.1",1,0,7,3,3,3,2,8,8,0,0
"ENSMUSG00000083137.1",0,1,4,0,1,2,0,0,0,0,0
"ENSMUSG00000082510.1",1,3,8,3,11,13,9,14,13,2,6
"ENSMUSG00000082024.1",3,0,1,0,1,0,0,0,4,0,0
"ENSMUSG00000085630.1",6,3,8,15,17,6,6,19,23,0,0
"ENSMUSG00000083232.1",0,1,3,1,6,10,0,3,4,0,0
"ENSMUSG00000084360.1",1,1,2,4,5,10,1,6,1,0,0
"ENSMUSG00000080961.1",6,3,1,5,0,4,0,0,2,0,0
"ENSMUSG00000079993.2",2,2,0,3,4,1,1,12,1,1,0
"ENSMUSG00000083068.1",1,1,0,5,2,0,0,1,1,0,0
"ENSMUSG00000081388.1",1,1,1,0,0,0,2,5,4,0,0
"ENSMUSG00000086052.1",39,35,84,46,31,31,20,75,100,0,0
"ENSMUSG00000081913.1",0,0,0,0,0,0,0,0,8,0,0
"ENSMUSG00000083023.1",1,4,2,0,2,0,0,4,1,0,0
"ENSMUSG00000083186.1",1,1,8,4,6,4,3,5,3,0,0
"ENSMUSG00000068240.5",10,22,27,11,18,24,21,18,18,12,8
"ENSMUSG00000082122.1",0,8,3,1,3,6,16,6,16,0,0
"ENSMUSG00000082151.3",4,5,9,2,4,2,1,4,4,1,0
"ENSMUSG00000081361.1",0,2,3,1,3,1,1,0,2,0,0
"ENSMUSG00000084215.3",9,11,11,10,27,9,10,11,9,10,8
"ENSMUSG00000086455.1",0,4,6,9,4,3,1,2,6,5,5
"ENSMUSG00000086233.1",66,62,124,64,52,124,72,430,352,33,48
"ENSMUSG00000087564.1",32,72,129,80,130,89,58,118,158,0,0
"ENSMUSG00000081327.1",0,6,4,1,0,0,0,6,8,0,0
"ENSMUSG00000086227.1",23,54,56,58,53,80,20,76,98,0,0
"ENSMUSG00000081884.1",20,24,12,9,16,11,17,28,12,0,0
"ENSMUSG00000082255.1",0,1,6,2,7,2,4,11,0,0,0
"ENSMUSG00000086927.1",104,145,281,184,174,198,146,318,398,0,0
"ENSMUSG00000082128.1",0,1,0,5,3,2,0,1,2,2,1
"ENSMUSG00000081063.1",3,5,6,7,2,6,5,7,8,0,0
"ENSMUSG00000083328.3",5,21,30,8,20,20,3,17,15,0,0
"ENSMUSG00000086765.7",213,299,180,18,31,38,35,65,59,4,5
"ENSMUSG00000083025.1",0,0,5,7,1,4,0,1,7,0,0
"ENSMUSG00000081490.1",3,2,10,5,8,4,7,13,12,0,0
"ENSMUSG00000086625.1",34,55,55,50,65,34,36,81,58,0,0
"ENSMUSG00000086103.1",6,17,17,10,19,25,9,34,22,0,0
"ENSMUSG00000084046.1",1,3,1,5,3,16,1,7,16,0,0
"ENSMUSG00000084095.1",5,7,6,7,5,3,2,5,2,0,0
"ENSMUSG00000082501.1",1,8,10,3,3,2,3,12,4,0,0
"ENSMUSG00000081239.3",2,6,3,1,3,6,2,3,8,1,2
"ENSMUSG00000086587.7",145,128,157,111,73,91,60,158,162,1,9
"ENSMUSG00000083280.1",0,1,0,0,4,0,0,1,1,1,0
"ENSMUSG00000083246.1",55,51,24,16,29,18,23,29,41,5,1
"ENSMUSG00000085027.1",17,44,58,69,59,65,53,95,113,0,0
"ENSMUSG00000081593.1",6,4,4,6,3,3,4,3,10,0,5
"ENSMUSG00000085467.1",77,75,102,84,80,77,44,109,97,0,0
"ENSMUSG00000082676.1",32,26,28,7,5,1,17,19,24,0,0
"ENSMUSG00000087241.1",12,18,72,36,41,38,22,54,93,0,0
"ENSMUSG00000083073.1",0,0,1,2,0,4,0,3,0,0,0
"ENSMUSG00000085909.1",87,147,227,128,163,152,108,222,305,0,0
"ENSMUSG00000060989.8",57,54,56,77,97,116,87,214,211,22,21
"ENSMUSG00000082994.1",1,3,9,7,2,3,3,11,13,0,0
"ENSMUSG00000083572.1",0,0,5,2,1,9,1,6,4,0,0
"ENSMUSG00000082552.1",0,3,1,2,2,2,1,2,4,0,0
"ENSMUSG00000085478.1",0,0,0,0,0,0,0,1,2,1,0
"ENSMUSG00000083150.1",1,2,4,0,1,2,0,0,2,0,0
"ENSMUSG00000083660.1",4,6,15,14,12,7,3,21,18,0,0
"ENSMUSG00000080919.1",0,0,3,0,0,2,0,5,4,0,0
"ENSMUSG00000081026.1",4,5,10,8,2,12,2,12,27,0,2
"ENSMUSG00000080869.1",1,0,2,0,0,2,3,0,0,0,0
"ENSMUSG00000082673.1",0,1,2,2,0,1,0,2,2,3,6
"ENSMUSG00000084181.1",1,0,2,2,8,1,2,3,5,0,0
"ENSMUSG00000083330.1",0,3,1,0,1,0,0,1,1,0,0
"ENSMUSG00000083387.1",2,6,8,13,3,2,5,8,10,0,0
"ENSMUSG00000086072.1",57,97,169,159,135,158,90,218,245,0,0
"ENSMUSG00000083229.1",1,0,0,0,3,0,0,0,4,0,0
"ENSMUSG00000080065.2",3,11,15,9,11,11,8,19,30,0,0
"ENSMUSG00000083725.1",2,4,14,3,2,13,11,17,21,1,0
"ENSMUSG00000083155.1",6,2,6,10,1,7,2,6,6,0,0
"ENSMUSG00000087402.1",697,1037,1770,1445,1252,1257,973,1970,2438,0,0
"ENSMUSG00000050550.7",25,43,23,25,14,24,16,27,11,0,0
"ENSMUSG00000084190.1",7,10,4,4,7,11,1,5,6,0,0
"ENSMUSG00000084408.1",61,45,47,56,54,29,38,103,54,3,2
"ENSMUSG00000083315.1",0,1,1,1,0,2,4,3,2,0,0
"ENSMUSG00000086017.1",2,12,37,13,17,16,23,23,32,0,0
"ENSMUSG00000081964.1",6,2,10,3,2,6,1,5,12,0,0
"ENSMUSG00000081679.1",1,6,1,0,1,1,0,3,3,0,0
"ENSMUSG00000083654.1",3,4,17,11,10,11,6,13,54,0,0
"ENSMUSG00000082672.1",1,0,5,0,0,2,0,5,3,0,0
"ENSMUSG00000082320.1",1,0,10,1,5,7,2,1,8,0,0
"ENSMUSG00000081810.1",1,2,2,1,5,4,1,7,4,0,1
"ENSMUSG00000080762.1",0,2,2,1,2,3,0,3,7,0,0
"ENSMUSG00000082490.1",0,2,1,10,2,3,0,0,4,0,0
"ENSMUSG00000083514.1",3,0,0,0,2,5,6,5,0,0,0
"ENSMUSG00000083376.1",0,0,4,1,3,0,0,1,7,0,0
"ENSMUSG00000087098.1",184,263,538,324,316,374,284,484,680,0,0
"ENSMUSG00000080997.1",5,10,7,5,9,2,8,8,11,0,0
"ENSMUSG00000083785.1",3,9,6,2,5,0,2,4,6,0,1
"ENSMUSG00000082876.1",487,420,341,325,446,367,369,637,451,0,1
"ENSMUSG00000084179.1",1,1,0,3,4,1,2,2,0,0,0
"ENSMUSG00000081148.1",3,5,17,4,3,14,6,9,19,0,0
"ENSMUSG00000083154.1",0,2,9,13,5,12,8,5,8,0,0
"ENSMUSG00000081789.1",2,1,2,6,2,3,0,3,17,0,0
"ENSMUSG00000082451.1",0,0,1,11,0,0,0,1,0,0,0
"ENSMUSG00000084018.1",5,1,1,1,2,5,0,1,6,0,0
"ENSMUSG00000081369.1",2,0,4,0,3,3,0,9,2,0,0
"ENSMUSG00000081786.1",4,3,1,2,3,7,7,10,6,0,0
"ENSMUSG00000083835.1",2,1,3,3,2,2,2,1,5,0,0
"ENSMUSG00000087399.1",26,29,47,15,30,34,11,36,48,0,0
"ENSMUSG00000084163.1",0,0,2,0,0,4,5,2,2,0,0
"ENSMUSG00000080958.1",1,1,0,18,0,0,11,2,1,0,0
"ENSMUSG00000082573.1",0,2,7,9,1,7,0,7,3,0,0
"ENSMUSG00000083447.1",0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000082138.1",0,2,1,1,1,1,3,3,3,0,0
"ENSMUSG00000085885.1",1866,2600,2989,1415,1441,1379,1143,2302,2515,0,0
"ENSMUSG00000082703.1",7,2,3,3,6,5,0,7,8,0,0
"ENSMUSG00000082359.1",2,0,1,3,0,0,2,5,7,0,0
"ENSMUSG00000081579.1",2,4,2,3,6,2,2,7,17,0,0
"ENSMUSG00000084073.1",3,2,1,1,2,1,1,7,2,1,0
"ENSMUSG00000082977.1",1,0,3,2,1,3,0,3,3,0,0
"ENSMUSG00000083214.1",0,1,0,4,5,0,0,3,7,0,1
"ENSMUSG00000081011.1",2,0,6,0,1,0,0,0,4,0,0
"ENSMUSG00000082674.1",63,62,31,84,118,128,97,105,82,0,1
"ENSMUSG00000086774.1",0,2,1,6,3,2,4,8,10,0,0
"ENSMUSG00000086339.1",0,4,2,6,11,1,4,6,7,0,0
"ENSMUSG00000087316.1",20,49,72,63,55,50,41,67,85,0,0
"ENSMUSG00000080911.1",0,1,0,5,1,1,2,0,0,0,0
"ENSMUSG00000082486.1",0,0,3,5,0,2,1,3,10,0,0
"ENSMUSG00000082949.1",0,1,8,4,1,1,5,4,9,0,0
"ENSMUSG00000082254.1",2,3,2,3,3,0,0,6,4,0,0
"ENSMUSG00000082058.1",2,0,3,0,1,2,4,7,4,0,0
"ENSMUSG00000087180.1",183,371,454,717,555,521,355,717,837,0,0
"ENSMUSG00000080771.1",5,2,0,5,2,3,0,0,1,0,0
"ENSMUSG00000084201.1",16,5,15,12,26,20,7,40,40,0,0
"ENSMUSG00000082398.1",0,9,9,5,20,10,4,5,7,0,0
"ENSMUSG00000083872.1",0,1,4,0,4,1,0,4,4,0,0
"ENSMUSG00000083564.1",3,2,2,1,0,4,2,5,6,0,0
"ENSMUSG00000083887.1",0,0,2,1,0,0,0,0,1,0,0
"ENSMUSG00000082851.1",6,16,21,14,15,55,22,27,38,0,1
"ENSMUSG00000081879.1",0,0,0,0,4,0,1,6,6,0,0
"ENSMUSG00000086127.1",18,22,55,36,18,22,18,40,50,1,0
"ENSMUSG00000081206.1",4,6,12,29,12,15,19,25,22,0,0
"ENSMUSG00000081592.1",1,1,1,1,3,5,0,4,13,0,0
"ENSMUSG00000058725.1",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057674.3",1,3,0,0,5,3,1,1,5,0,0
"ENSMUSG00000078132.1",0,0,0,1,5,2,4,0,6,0,0
"ENSMUSG00000087692.1",43,38,35,4,7,7,3,6,11,2,1
"ENSMUSG00000083565.1",8,5,5,2,0,2,2,2,11,0,0
"ENSMUSG00000094344.1",2,4,6,1,5,6,4,0,4,3,5
"ENSMUSG00000081025.1",1,4,1,4,3,11,6,12,14,0,0
"ENSMUSG00000084941.1",1462,1710,1035,278,333,324,263,469,380,0,3
"ENSMUSG00000081059.3",3,1,7,1,4,3,7,10,11,0,0
"ENSMUSG00000087291.1",203,193,417,342,765,507,361,1079,867,0,0
"ENSMUSG00000084962.1",5,5,16,11,19,17,8,49,30,0,0
"ENSMUSG00000087055.1",44,58,46,7,10,20,14,19,33,0,0
"ENSMUSG00000084211.1",0,1,0,1,4,3,0,6,3,0,0
"ENSMUSG00000084310.1",2,0,5,0,2,2,3,7,7,0,0
"ENSMUSG00000079889.4",0,1,0,3,0,1,0,2,1,0,3
"ENSMUSG00000084077.1",0,2,2,4,5,6,1,6,8,0,0
"ENSMUSG00000082816.1",1,1,4,3,2,4,0,5,10,8,13
"ENSMUSG00000084170.1",3,0,1,1,3,0,0,0,3,0,0
"ENSMUSG00000082364.1",0,5,0,1,3,0,6,1,5,0,0
"ENSMUSG00000084012.1",0,0,0,0,1,1,1,6,0,0,0
"ENSMUSG00000083838.1",3,3,1,5,8,3,4,4,6,0,0
"ENSMUSG00000085512.1",5,8,9,8,6,0,4,13,15,0,0
"ENSMUSG00000085559.1",10,29,52,31,19,31,14,53,75,0,0
"ENSMUSG00000081974.3",186,147,216,199,264,193,214,500,271,29,51
"ENSMUSG00000056288.11",16,29,63,32,40,34,30,55,87,0,0
"ENSMUSG00000085232.3",12,3,4,4,5,3,2,13,5,0,0
"ENSMUSG00000085189.1",55,30,67,24,28,41,40,65,103,0,2
"ENSMUSG00000081021.1",0,1,11,1,0,0,2,0,2,0,0
"ENSMUSG00000081691.1",1,1,1,0,0,0,11,0,2,0,0
"ENSMUSG00000080904.1",1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084819.1",1,4,17,17,14,18,7,11,20,0,0
"ENSMUSG00000083209.1",10,28,23,50,57,38,36,70,40,0,0
"ENSMUSG00000079988.2",2,3,6,7,10,3,4,7,7,10,4
"ENSMUSG00000083693.1",1,4,0,1,0,1,5,1,5,0,0
"ENSMUSG00000084280.1",3,5,1,0,3,3,0,7,4,0,0
"ENSMUSG00000086839.7",581,654,550,827,1937,1425,1060,1916,1770,0,0
"ENSMUSG00000084231.1",10,13,10,13,20,20,17,16,18,0,0
"ENSMUSG00000080833.1",6,1,2,6,0,4,1,5,2,0,0
"ENSMUSG00000083819.1",63,47,44,27,42,45,24,44,25,0,0
"ENSMUSG00000086373.8",13,17,71,64,33,39,27,73,94,0,1
"ENSMUSG00000082579.1",2,2,2,3,1,1,0,1,2,6,8
"ENSMUSG00000083075.1",1,2,7,4,8,3,3,10,9,0,0
"ENSMUSG00000086808.1",10,9,23,26,15,21,12,29,30,0,0
"ENSMUSG00000082897.1",2,2,2,3,0,0,0,5,3,0,0
"ENSMUSG00000099102.1",5,18,11,7,23,18,8,25,18,0,0
"ENSMUSG00000082333.1",0,2,4,6,3,0,0,2,3,0,0
"ENSMUSG00000087512.2",4,4,31,17,20,9,24,28,48,0,0
"ENSMUSG00000087637.1",25,62,105,113,50,101,83,130,161,0,0
"ENSMUSG00000084318.1",3,2,11,5,8,6,2,9,15,0,0
"ENSMUSG00000082459.1",3,1,14,15,8,9,4,11,8,0,0
"ENSMUSG00000083553.1",1,1,1,1,1,4,0,2,2,6,6
"ENSMUSG00000081539.1",0,3,11,6,11,2,1,13,9,0,0
"ENSMUSG00000082095.1",3,2,3,5,1,1,4,11,8,0,0
"ENSMUSG00000040978.4",24,46,105,85,75,117,53,119,156,2,10
"ENSMUSG00000101841.1",7,13,24,8,12,6,25,11,21,3,0
"ENSMUSG00000082312.1",0,1,1,0,2,3,0,0,5,1,3
"ENSMUSG00000084045.1",8,0,5,3,2,3,0,2,9,0,0
"ENSMUSG00000087452.1",44,62,133,69,85,77,34,124,187,0,0
"ENSMUSG00000085652.1",72,121,223,157,144,177,91,256,277,0,0
"ENSMUSG00000073145.6",4,3,23,6,4,9,12,16,14,0,0
"ENSMUSG00000083527.1",10,13,12,9,15,34,17,25,21,0,0
"ENSMUSG00000086584.8",1825,1961,2289,1856,2114,1911,2073,3607,2299,0,3
"ENSMUSG00000083859.1",0,2,12,4,4,4,6,9,9,0,0
"ENSMUSG00000084055.1",1,0,2,2,3,6,3,8,15,0,0
"ENSMUSG00000081631.1",20,22,12,10,20,9,15,17,22,0,1
"ENSMUSG00000080734.1",0,1,1,0,1,0,0,0,4,0,0
"ENSMUSG00000083427.1",0,0,8,2,0,2,0,0,3,0,0
"ENSMUSG00000082156.1",0,3,2,1,2,1,2,5,2,0,0
"ENSMUSG00000084183.1",3,13,10,13,8,10,6,12,16,12,1
"ENSMUSG00000083292.1",14,14,30,11,16,18,18,32,37,0,0
"ENSMUSG00000082410.1",0,0,2,1,0,0,3,3,6,0,0
"ENSMUSG00000083925.1",0,2,4,4,9,1,5,5,15,0,0
"ENSMUSG00000082099.1",1,5,2,0,2,1,2,2,1,0,0
"ENSMUSG00000083752.1",76,54,69,8,18,24,4,18,31,0,0
"ENSMUSG00000082797.3",3,5,0,3,1,6,3,9,21,0,0
"ENSMUSG00000082411.1",0,0,2,0,3,0,1,1,1,0,0
"ENSMUSG00000084413.1",0,3,6,2,1,3,1,4,7,14,9
"ENSMUSG00000085453.1",8,21,38,20,30,42,18,38,48,3,5
"ENSMUSG00000080826.1",1,0,3,1,2,5,2,6,1,0,0
"ENSMUSG00000081302.1",12,16,12,37,42,24,34,41,66,8,5
"ENSMUSG00000082852.2",1,7,7,6,18,15,6,15,25,0,0
"ENSMUSG00000085675.1",38,61,104,74,58,69,44,125,173,3,0
"ENSMUSG00000085806.1",142,221,418,310,272,348,244,489,701,0,0
"ENSMUSG00000081101.1",4,5,14,1,3,7,2,9,17,0,0
"ENSMUSG00000081054.1",0,0,0,0,2,0,0,4,0,0,0
"ENSMUSG00000082737.3",5,6,2,3,3,0,25,1,5,0,0
"ENSMUSG00000086911.1",0,0,7,1,4,4,0,2,5,0,1
"ENSMUSG00000083601.1",1,3,6,4,0,5,0,5,18,0,0
"ENSMUSG00000081820.1",2,9,8,12,7,12,8,8,22,0,0
"ENSMUSG00000081346.1",2,0,5,3,0,0,0,0,14,0,0
"ENSMUSG00000085035.1",1,3,1,6,7,1,2,5,2,0,0
"ENSMUSG00000078965.5",0,0,0,1,2,0,0,0,0,0,0
"ENSMUSG00000083878.3",7,2,2,2,8,0,1,6,12,1,2
"ENSMUSG00000083555.1",3,8,5,12,31,25,17,49,28,1,0
"ENSMUSG00000084252.1",9,15,7,9,27,22,13,30,17,0,0
"ENSMUSG00000086749.1",0,4,4,8,4,1,0,8,10,0,0
"ENSMUSG00000082157.1",3,3,3,0,0,0,0,0,0,1,1
"ENSMUSG00000081868.1",13,18,16,4,21,11,6,23,21,0,0
"ENSMUSG00000084259.1",3,4,3,1,8,6,4,9,9,0,0
"ENSMUSG00000082898.1",0,0,3,1,1,0,3,1,3,0,0
"ENSMUSG00000084048.1",13,8,12,6,13,15,25,21,13,0,0
"ENSMUSG00000087253.1",112,74,90,127,186,151,211,281,251,1,0
"ENSMUSG00000084412.1",0,0,0,0,2,0,1,0,0,0,0
"ENSMUSG00000082607.1",1,0,2,1,1,1,1,3,1,0,0
"ENSMUSG00000082040.1",1,1,0,0,1,1,1,0,3,0,0
"ENSMUSG00000084004.1",7,8,5,7,6,6,1,14,8,0,0
"ENSMUSG00000085856.1",4,3,0,1,1,4,3,4,8,0,0
"ENSMUSG00000085021.1",1,10,25,21,14,10,16,18,36,0,0
"ENSMUSG00000086256.1",7,6,8,4,9,3,4,6,7,0,0
"ENSMUSG00000083008.1",0,0,0,0,0,1,0,3,2,0,0
"ENSMUSG00000085979.1",3,4,7,5,9,0,6,12,12,0,0
"ENSMUSG00000085803.1",1,7,18,8,8,12,7,27,36,5,0
"ENSMUSG00000084081.3",2,9,9,17,4,14,8,22,21,1,0
"ENSMUSG00000101716.1",508,640,1046,1135,1315,1618,1086,1566,1578,1,0
"ENSMUSG00000082576.1",5,5,7,0,3,0,1,3,4,0,2
"ENSMUSG00000085665.1",30,39,46,30,32,29,26,49,80,1,2
"ENSMUSG00000085415.1",9,16,7,8,4,3,6,3,14,49,86
"ENSMUSG00000084769.1",161,181,214,128,121,121,112,173,126,0,0
"ENSMUSG00000084206.1",0,0,0,1,1,0,0,0,1,0,0
"ENSMUSG00000085167.1",0,1,1,8,4,3,3,2,5,0,0
"ENSMUSG00000086612.1",48,50,169,79,68,96,94,129,210,0,0
"ENSMUSG00000086117.1",1,15,37,16,15,24,15,34,54,0,0
"ENSMUSG00000085579.1",12,36,100,43,72,61,44,98,121,0,0
"ENSMUSG00000081767.1",2,2,6,4,5,5,9,9,6,0,0
"ENSMUSG00000087085.1",431,757,1518,998,982,969,673,1482,1965,0,0
"ENSMUSG00000086439.1",31,51,97,73,62,79,51,93,158,0,0
"ENSMUSG00000069939.8",0,1,0,0,0,0,0,0,0,30,44
"ENSMUSG00000082038.1",0,0,0,0,1,0,2,3,1,0,0
"ENSMUSG00000082294.2",15,46,41,58,28,46,26,70,107,0,0
"ENSMUSG00000080987.1",2,0,3,0,2,0,2,4,2,0,0
"ENSMUSG00000083895.1",0,0,0,0,0,1,0,2,4,0,0
"ENSMUSG00000080735.1",1,5,9,6,1,2,2,3,16,0,0
"ENSMUSG00000081658.1",0,1,1,3,2,0,2,1,0,0,0
"ENSMUSG00000084064.1",22,17,14,5,1,7,19,16,10,0,0
"ENSMUSG00000083201.1",7,18,10,9,4,14,5,20,16,1,3
"ENSMUSG00000084905.1",5,13,27,24,23,22,7,23,30,0,0
"ENSMUSG00000085510.1",75,147,222,190,145,208,117,283,349,0,0
"ENSMUSG00000083298.1",0,5,4,9,1,4,4,10,8,0,0
"ENSMUSG00000080827.1",0,1,4,0,0,3,4,1,3,0,0
"ENSMUSG00000082721.1",0,0,1,0,0,0,1,1,3,0,0
"ENSMUSG00000086707.1",3,8,14,11,10,13,4,14,16,2,1
"ENSMUSG00000085165.1",33,29,20,32,30,24,31,74,52,0,0
"ENSMUSG00000081575.1",2,13,8,7,18,5,4,17,12,0,0
"ENSMUSG00000085893.1",2,2,1,3,10,4,7,7,17,6,5
"ENSMUSG00000084850.1",102,156,256,132,150,162,97,199,286,0,0
"ENSMUSG00000083917.1",0,3,10,7,4,7,5,8,5,0,0
"ENSMUSG00000080851.1",1,2,4,0,2,1,3,2,6,0,0
"ENSMUSG00000080906.1",5,3,4,7,1,0,0,7,5,0,0
"ENSMUSG00000081712.1",45,45,35,15,24,28,14,38,31,4,0
"ENSMUSG00000081887.1",237,255,293,105,167,138,110,175,121,0,2
"ENSMUSG00000082078.1",32,48,77,20,39,44,22,42,27,0,0
"ENSMUSG00000083655.1",0,1,6,3,6,6,2,6,4,0,0
"ENSMUSG00000087474.1",16,19,28,15,8,10,25,32,52,0,0
"ENSMUSG00000083990.1",5,0,1,1,0,1,0,1,4,0,0
"ENSMUSG00000082213.1",21,18,19,5,3,2,2,8,13,0,0
"ENSMUSG00000086986.3",14,15,19,11,35,29,41,43,34,0,0
"ENSMUSG00000084146.1",23,15,23,5,8,13,0,19,15,0,0
"ENSMUSG00000082049.1",9,6,4,4,4,6,2,9,0,0,1
"ENSMUSG00000079890.2",6,5,21,19,15,16,6,15,28,0,0
"ENSMUSG00000086335.1",10,25,43,44,32,32,30,51,76,0,0
"ENSMUSG00000086386.1",5,6,35,33,27,26,12,46,37,0,0
"ENSMUSG00000081613.1",5,2,4,3,3,8,2,4,3,0,2
"ENSMUSG00000083303.1",0,1,0,1,3,1,0,1,13,0,0
"ENSMUSG00000085402.1",62,85,165,93,110,104,70,165,188,0,0
